"ISO","Constant","static_inv_TT_Cities","EcoRegionId","GHS_dPop_00_15","MapSpam_arable","MapSpam_permacrops","relpotaccess_2000","crops_fract","grass_fract","shrubs_fract","reltri","w_shrubs_fract","w_reltri","w_inv_TT_Cities"
"NER",3.50039889796098,0,-0.00742856490713127,0,0.0120677408154499,-0.236094416165059,0.164689593854796,-0.115222228499884,-0.0522249196728861,0.086718834248946,0,0.369501420163807,-8.41125655198347,-5.45548167248036
"NGA",-1.60792423625236,0,0.00237535184659829,0,0.0127546351901407,-0.0492538283669701,-1.62839055426744,-0.0325641406329579,0,0.0740350786193035,-1.14004468540476,-0.18265528493101,-14.413623963841,0.19940292416017
"RWA",-8.84876738481283,0,0.0163075932060243,0.00010654470692254,0.0101481446584139,0.00280264852164145,-0.882783975069541,-0.0737926067119845,-0.031251292336043,0,2.28538877285604,0,0,0
"SLE",-12.1351247641928,0,0,0,0,0,0,-13.8708987990498,0.169112145817788,0,0,-98.5094937452927,0,0
"SOM",-4.97887196314397,0,0.00917522142042994,-0.000358307610856193,0.00604235903693004,-0.499783008975543,-0.033376013719044,-0.0663035304605033,-0.0716423197262425,0.0481274516217113,6.29614593187258,-0.0102375526453678,26.1605612533787,0
"SWZ",-2.35742993377888,2.59521092862492,-0.000788482242223692,0,-0.0135707503341747,-0.0886038538179221,0.219781623926109,0.0948445682015995,0.00695547261925193,0,-3.84439081583835,-2.26736742250381,-7.64368741824785,-2.90311748062307
"TCD",-0.781348591253033,2.08694595407205,-0.000893546196225691,0,0.208274207571761,-0.751623411669363,-0.0207289521878768,-0.0443596867866947,0.0284965471601493,0,0,-0.107687677755901,-6.31870703862577,-12.8395976594683
"TGO",-79.4595023425636,0,0.0986291698505311,0,0.0169216306024771,-0.16336648079818,-0.028452398089982,-0.0824263644725097,0.0788269769204632,-9.69505969011464,0,0,-16.3117386036315,0
"TUN",-4.68395995079339,0,0.0049430539382439,0,0,0.00855877638139704,-0.773410002125745,-0.297462857695677,0.033712668999214,0.0416433458933017,1.51918043336632,-0.130361892310933,3.75630576906884,0
"TZA",-2.31694041693107,1.87475721513281,-0.000262362640439736,-2.62319823966581e-05,0.000573860071700166,-0.0092256100833958,0.735693641756248,0.0100197944894348,0.0426612114452571,-0.0273519706079523,-0.501422689668045,-0.0132262568030761,-0.841119809150248,-9.97454601250199
"UGA",-3.28215436129928,0,0.00176639043386567,0,-0.00771220905744658,0.0305758656026195,-0.451827036050321,-0.0536565111073657,0.0745140053012654,0,0,0.203295309504395,5.7143631392104,0
"ZAF",-4.33958050975597,0,0.00730336863140653,-0.000928964468541455,-0.0341814383365766,0,-0.107635311821262,-0.0523463394155022,-0.0185458500959114,0.0672891235922028,-0.488374289699208,0.0524542904909758,-12.3572900732518,-2.39818608069496
"ZMB",-2.35577290254962,0.987072864410296,-0.00137481227371475,0,0.16987317258341,0.250779127128893,-0.237729672303277,0.0326942451067325,0.012341939895619,0.369877619377939,-1.15810470742815,1.10510874135066,0,0
"ZWE",-0.968443609260367,0,0.000439284703955832,0.000194892109222447,0.0250570366453659,-0.0608194607285228,-0.509055226104533,0.0321483465989572,0.042963036420154,0.140703272582141,-1.54062394390511,0.0655991424826971,-6.53943634581742,3.14863941346229
"COM",-0.508522864302624,0,-0.00842553687414751,0,0,0.30800969868757,0.476903761425788,-0.243301626650995,-0.0196715793969406,0.250410367586764,-2.63279799691878,0.01165882053995,-3.28988936076921,-18.1236090465066
"MDG",-0.508522864302624,0,-0.00842553687414751,0,0,0.30800969868757,0.476903761425788,-0.243301626650995,-0.0196715793969406,0.250410367586764,-2.63279799691878,0.01165882053995,-3.28988936076921,-18.1236090465066
"MUS",-0.508522864302624,0,-0.00842553687414751,0,0,0.30800969868757,0.476903761425788,-0.243301626650995,-0.0196715793969406,0.250410367586764,-2.63279799691878,0.01165882053995,-3.28988936076921,-18.1236090465066
"SDN",-9.92543953590069,-0.623666402189548,0.0111946698657573,0,0.00819161995246494,-0.0520809518941548,-0.493062490049753,-0.0768708141268776,0.0361367183808755,0.0483375080009608,-0.450348502093493,0.229651148753837,5.55003793143197,2.78337666327266
"SEN",-5.17254597758155,0,0.00653840030901593,-8.56431538854043e-05,-0.00876251621747118,-0.0714470629694353,-0.157115513813738,-0.0394550552888563,0.0122413384915217,0.031681189537698,-0.84574318293748,-0.0315799396662794,-11.6116476524375,0
General,-30.7028942739616,0,0.0406734669891029,-0.000269196835610689,0,0.00290447038890937,-2.61704804833217,-0.0417677328460615,0.0940516146812246,-0.0637357890902817,0,-0.16328574430547,-16.2031070208296,0
