Scenario,Country,y2010,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
SSP1,ZWE,12571454,12737870.9,12904287.79,12933848.24,12963408.69,12830520.96,12697633.22,12470028.38,12242423.53,11946171.19,11649918.84,11346102.39,11042285.94,10723737.21,10405188.48,10075327.13,9745465.775,9419616.12,9093766.465
SSP1,SDN,31374818.3,34766621.35,38158424.41,41046395.91,43934367.4,46187372.35,48440377.29,49847143.56,51253909.82,51872520.22,52491130.63,52447353.55,52403576.48,51702592.28,51001608.07,49697376.63,48393145.19,46657091.35,44921037.52
SSP1,SSD,12177122.7,13493541.55,14809960.39,15930833.28,17051706.17,17926137.3,18800568.42,19346559.33,19892550.23,20132643.89,20372737.54,20355746.88,20338756.22,20066691.84,19794627.45,19288432.13,18782236.81,18108443.56,17434650.32
SSP1,ESH,295214,558710,598661,702486,806311,910136,1013961,1117786,1221611,1325436,1429261,1533086,1636911,1740736,1844561,1948386,2052211,2156036,2259861
SSP1,GIN,8703041,12476842,14228080,16285100,18342120,20399140,22456160,24513180,26570200,28627220,30684240,32741260,34798280,36855300,38912320,40969340,43026360,45083380,47140400
SSP1,MUS,1118761,1197948,1257568,1322778,1387988,1453198,1518408,1583618,1648828,1714038,1779248,1844458,1909668,1974878,2040088,2105298,2170508,2235718,2300928
SSP1,COM,451402,706963,761880,874125,986370,1098615,1210860,1323105,1435350,1547595,1659840,1772085,1884330,1996575,2108820,2221065,2333310,2445555,2557800
SSP1,MDG,15347414,23621488,25236620,29045775,32854930,36664085,40473240,44282395,48091550,51900705,55709860,59519015,63328170,67137325,70946480,74755635,78564790,82373945,86183100
SSP1,CPV,368354,448952,489539,541559,593579,645599,697619,749639,801659,853679,905699,957719,1009739,1061759,1113779,1165799,1217819,1269839,1321859
SSP1,STP,127935,173298,184305,205128,225951,246774,267597,288420,309243,330066,350889,371712,392535,413358,434181,455004,475827,496650,517473
